RecipeId,Name,AuthorId,AuthorName,CookTime,PrepTime,TotalTime,DatePublished,Description,Images,RecipeCategory,Keywords,RecipeIngredientQuantities,RecipeIngredientParts,AggregatedRating,ReviewCount,Calories,FatContent,SaturatedFatContent,CholesterolContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent,RecipeServings,RecipeYield,RecipeInstructions
185,Cola Fruit and Date Loaf,125579,GrandmaIsCooking,PT1H,PT50M,PT1H50M,1999-08-23T12:41:00Z,"--Adopted Recipe--  The original submitter says that this fruity loaf showed up in Coke and Seven-Up cookbooks. The recipe was adapted  from &quot;Cooking With Coke&quot; - a publication of the Coca Cola Company.  Be sure to make a day ahead of time, because it is best the next day.","""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/18/5/picgrPBKe.jpg""",Quick Breads,"c(""Breads"", ""Fruit"", ""Low Cholesterol"", ""Healthy"", ""Weeknight"", ""Oven"", ""< 4 Hours"")","c(""1"", ""1 1/4"", ""1"", ""2"", ""2"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1/2"")","c(""dates"", ""brown sugar"", ""flour"", ""baking soda"", ""baking powder"", ""cinnamon"", ""lemon rind"", ""egg"", ""vanilla extract"", ""pecans"")",5.0,3.0,267.0,6.2,0.7,17.6,150.0,51.4,2.6,32.2,3.6,12.0,,"c(""Preheat oven to 350 Fahrenheit."", ""Generously grease a 9 by 5 inch loaf pan."", ""Chop dates."", ""Heat cola to boiling.  Remove from heat and stir in dates, mixing very well."", ""Stir in sugar and oil.  Cool while preparing other ingredients."", ""Stir dry ingredients together and add to cola mixture.  Stir in egg, extract and nuts."", ""Spoon batter into pan.  Bake about 1 hour until cake tests done.  Cool on a rack for 20 minutes then remove from pan and wrap."", ""Store overnight before slicing."")"
191,Chilies Corn Muffins,1530,Carole Reu,PT25M,PT35M,PT1H,1999-09-06T04:52:00Z,Make and share this Chilies Corn Muffins recipe from Food.com.,character(0),Quick Breads,"c(""Breads"", ""Peppers"", ""Vegetable"", ""< 60 Mins"", ""Oven"")","c(""1 1/2"", ""1/2"", ""1/4"", ""1/4"", ""3"", ""1/4"", ""1/2"", ""1/4"", ""1"", ""4"")","c(""all-purpose flour"", ""cornmeal"", ""sugar"", ""brown sugar"", ""baking powder"", ""salt"", ""skim milk"", ""soymilk"", ""egg"", ""green chilies"")",5.0,7.0,163.6,5.3,0.8,17.8,155.6,26.2,0.9,9.2,3.1,12.0,,"c(""Preheat oven to 400."", ""Spray a standard muffin pan with cooking spray."", ""In medium bowl, whisk flour, cornmeal, both sugars, baking powder and salt.  In medium  bowl, mix remaining ingredients."", ""Make well in dry ingredients."", ""Add milk  mixture and stir until just blended."", ""Divide batter among prepared muffin cups."", ""Bake 15 to 20 minutes, or until top springs back when lightly pressed."", ""Let cool in pan 5 minutes, them loosen edges and turn out on rack and cool completely."")"
199,Citrus Glazed Barbecued Pork Loin,39547,Julesong,PT35M,PT15M,PT50M,1999-08-07T16:33:00Z,Make and share this Citrus Glazed Barbecued Pork Loin recipe from Food.com.,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/19/9/picyeMlI7.jpg""",Pork,"c(""Meat"", ""Free Of..."", ""< 60 Mins"", ""Oven"")","c(""2"", ""1"", ""4"", ""1"", ""1"", ""1"", ""2"", ""2"", ""2"", ""6"", ""2"", NA, ""3"", ""4"", ""2"", ""2"")","c(""canola oil"", ""onion"", ""garlic"", ""chipotle pepper"", ""arbol chile"", ""cracked black pepper"", ""Worcestershire sauce"", ""barbecue sauce"", ""lemons"", ""kosher salt"", ""olive oil"", ""kosher salt"", ""cracked black pepper"")",5.0,5.0,835.8,50.8,13.1,136.1,3187.2,47.0,2.6,30.9,46.7,6.0,,"c(""Preheat oven to 350 degrees."", ""In a small saucepot add canola oil and saute onions and garlic until translucent."", ""Add chipotle and arbol chilies and continue to cook until chiles start to toast."", ""Add cracked black pepper and deglaze with Worcestershire sauce and orange juice; reduce until starts to thicken."", ""Then add in your favorite barbecue sauce, reduce to low heat, and simmer for about 15 minutes."", ""Season with hot sauce, lemon juice and to taste with salt.  Strain barbecue sauce and set aside."", 
""On a large sheet pan rub the pork loin with olive oil and season with salt and cracked pepper."", ""Roast in a 350 degree oven (basting with the citrus glaze about every 15 minutes) until the internal temperature is about 140 degrees."", ""Remove from oven and let meat set for about 5 minutes, slice, and enjoy!"")"
205,Cinnamon Curry Rice,1606,kai8710,,PT15M,PT15M,1999-09-15T04:05:00Z,Make and share this Cinnamon Curry Rice recipe from Food.com.,character(0),Rice,"""< 15 Mins""","c(""250"", ""2"", ""2"", ""1"", ""1"", ""2"", ""2"", ""3"", ""4"", ""4"", ""2"", NA, ""310"", ""15"")","c(""onions"", ""potatoes"", ""carrot"", ""apple"", ""curry powder"", ""flour"", ""garlic"", ""water"", ""butter"", ""rice"", ""cinnamon"")",5.0,1.0,3892.1,94.2,39.2,269.6,630.4,647.4,42.6,39.6,110.7,,1 batch,"c(""Bring cinnamon to boil in 2 cups water, simmer covered until reduced to 1 cup;  strain, discard pulp, reserve broth."", ""Cook enough rice for 5 persons."", ""Heat butter in a wok, add flour and stir well to mix and thicken; then add curry powder and  stir well to mix; then add a little stock or water and mix well; return to boil, add carrot, potatoes, and apple, cover, simmer on low heat."", ""In a separate wok or pan, stir-fry sliced pork quickly in a little oil along with garlic."", ""Remove and  reserve. When carrots and potatoes are almost done, add cinnamon broth, pork and onions to the pot, return to boil, simmer for a few minutes, then serve over  rice.""
)"
213,Chocolatey Raisin Chip Cookies,1533,Dancer,PT12M,PT45M,PT57M,1999-08-06T00:40:00Z,Make and share this Chocolatey Raisin Chip Cookies recipe from Food.com.,character(0),Drop Cookies,"c(""Dessert"", ""Cookie & Brownie"", ""< 60 Mins"", ""Oven"")","c(""1"", ""1/2"", ""1/2"", ""2"", ""3"", ""1/4"", ""2 1/4"", ""1/4"", ""1"", ""3"", ""4"", ""1 1/2"", ""1/2"")","c(""brown sugar"", ""sugar"", ""canola oil"", ""vanilla"", ""water"", ""flour"", ""baking soda"", ""raisins"", ""walnuts"")",4.0,1.0,83.5,3.1,0.6,0.1,28.2,13.5,0.5,8.7,1.2,,60 cookies,"c(""Preheat oven to 375F."", ""Combine sugars and oil; mix thoroughly."", ""Add vanilla and egg whites; beat well."", ""Stir in water."", ""In separate bowl, combine flour, milk, baking soda, and cocoa powder; add to wet ingredients."", ""Stir in chocolate chips, raisins, and nuts."", ""Drop by heaping teaspoon onto lightly oiled cookie sheets."", ""Bake 10 to 12 minutes."", ""Remove from sheets immediately; cool on racks."", ""Makes about 60 cookies."")"
218,Chocolate Chip Cookie Pizza,1545,Nancy Van Ess,,PT40M,PT40M,1999-08-11T04:49:00Z,Make and share this Chocolate Chip Cookie Pizza recipe from Food.com.,character(0),Dessert,"c(""Cookie & Brownie"", ""Kid Friendly"", ""< 60 Mins"", ""Oven"", ""Easy"")","c(""1"", ""1/2"", ""1/4"", ""2"", ""2"")","c(""peanuts"", ""coconut"")",,,264.2,11.2,4.3,10.8,96.6,38.9,1.2,9.4,2.6,12.0,,"c(""Preheat oven to 350 degrees Fahrenheit."", ""Coat a nonstick 12\"" pizza pan with non-stick cooking  spray."", ""Spread cookie dough out evenly in prepared pan, pressing with fingers to  flatten."", ""Bake for 17 minutes or until cookie dough is lightly browned."", ""Let cookie pizza cool completely in pizza pan on a wire rack."", ""To decorate:"", ""Spread raspberry preserves evenly over cookie pizza to within 1\"" of edge."", ""Sprinkle chocolate candy, peanuts and coconut evenly over the preserves."", ""Cut into 12 pizza-shaped  slices.""
)"
226,Chocolate Chunk and Walnut Brownies,174711,Queen Dragon Mom,PT6H50M,PT1H,PT7H50M,1999-08-08T01:38:00Z,Make and share this Chocolate Chunk and Walnut Brownies recipe from Food.com.,character(0),Bar Cookie,"c(""Dessert"", ""Cookie & Brownie"", ""Fruit"", ""Nuts"", ""Kid Friendly"", ""Weeknight"", ""For Large Groups"", ""Oven"")","c(""1 1/4"", ""1/4"", ""1/8"", ""14"", ""1"", ""9"", ""1/4"", ""1/4"", ""3"", ""1"", ""1 1/2"", ""9"")","c(""all-purpose flour"", ""baking soda"", ""salt"", ""granulated sugar"", ""unsalted butter"", ""light corn syrup"", ""water"", ""eggs"", ""vanilla extract"", ""walnuts"")",4.0,3.0,247.2,18.6,8.9,34.7,41.4,22.2,3.5,9.7,4.8,24.0,,"c(""Preheat oven to 325 degrees Fahrenheit."", ""Line a 13 by 9-1/2 inch baking pan with two layers of aluminum foil, allowing an overhang on each end. Grease the foil with butter."", ""Stir together the flour, baking soda, baking powder and salt."", ""Place the chopped semi-sweet chocolate in a larger bowl."", ""In a saucepan, heat the granulated sugar, unsalted butter, corn syrup and water until the butter melts and the sugar is dissolved."", ""Remove the pan from the heat once it reaches a boil."", ""Pour the hot syrup over the semi-sweet chocolate, allowing it to stand momentarily. Stir until smooth."", 
""Whisk the eggs in one at  a time."", ""Whisk in the vanilla and the flour mixture until smooth."", ""Fold in the walnuts and the chopped Swiss chocolate."", ""Scrape the batter into the prepared pan."", ""Bake for 50 minutes to 1 hour, or until a cake tester comes out clean."", ""Cool the brownies in the pan on a wire rack for at least 6 hours."", ""Carefully invert the brownies onto a large cutting board or platter and peel off the foil."", ""Invert the brownies again and cut into 24 squares."")"
231,Chocolate Cream Puffs,1530,Carole Reu,PT55M,PT1H15M,PT2H10M,1999-08-22T04:46:00Z,Make and share this Chocolate Cream Puffs recipe from Food.com.,character(0),Dessert,"c(""Weeknight"", ""Oven"", ""< 4 Hours"")","c(""1"", ""1/2"", ""2"", ""1/4"", ""1"", ""1"", ""5"", ""1"")","c(""water"", ""unsalted butter"", ""sugar"", ""salt"", ""flour"", ""eggs"", ""ice cream"")",5.0,3.0,235.8,14.7,8.6,117.2,115.2,20.9,0.7,11.6,5.4,12.0,,"c(""Combine water, butter, sugar and salt in a medium size saucepan."", ""Place over  medium low heat to melt butter."", ""Add flour and cocoa powder all at once; stir  vigorously until mixture pulls away from side of pan."", ""Remove from heat. Heat  oven to 400."", ""Lightly coat baking sheet with cooking spray."", ""With the saucepan  off heat, add eggs one at a time, to batter in saucepan, beating well after each addition."", ""With a 1/4 cup drop mixture onto baking sheet, spacing 2\"" apart. Bake for 40 minutes until puffed and firm."", 
""Cool slightly."", ""Cut off top third of each puff; scoop out soft center from bases."", ""Cool bases and top on wire rack."", ""Fill  puffs with ice cream of your choice; cover with tops."", ""Freeze on baking sheets  until firm."", ""Transfer to an airtight container."", ""Freeze for up to 1 week."", ""Place puff on plates."", ""Let stand 15 minutes."", ""Top with sauce of your choice."")"
242,&quot;any&quot; Muffins,1530,Carole Reu,PT20M,PT20M,PT40M,1999-09-05T19:54:00Z,Make and share this &quot;any&quot; Muffins recipe from Food.com.,character(0),Quick Breads,"c(""Breads"", ""Healthy"", ""< 60 Mins"", ""Oven"")","c(""2 1/2"", ""1"", ""1/4"", ""1"", ""1/2"", ""2"", ""1/2"", ""1"")","c(""white flour"", ""milk"", ""egg"", ""sugar"", ""baking powder"", ""salt"", ""milk"")",5.0,15.0,198.1,6.4,3.2,28.0,183.7,30.3,0.7,8.4,4.5,12.0,,"c(""Bake 15 to 20 minutes in a 400 oven."", ""FOR THE MUFFINS: GRAIN:  Use 2 to 2 1/2 cup of white flour."", ""OR --"", ""substitute oatmeal,  cornmeal, whole wheat flour, rye flour, or flake cereal for 1 cup of the white  flour."", ""OR --"", ""substitute 1 cup leftover cooked oatmeal, rice or cornmeal for  1/2 cup of the white flour and decrease liquid to 1/2 cup."", ""MILK:  Use 1 cup."", ""OR --"", ""substitute buttermilk or sour milk."", ""Or substitute fruit juice for part  or all of the milk."", ""FAT:  Use 1/4 cup vegetable oil or 4 Tbsp melted butter or  margarine.  OR  substitute regular or crunch peanut butter for part or all of  the fat.  The fat can be reduced or omitted with fair results if using a \""wet  addition.\""  EGG:  Use 1 egg."", 
""OR --"", ""substitute 1 heaping Tbsp of soy flour and 1 Tbsp of water."", ""If using a cooked grain, separate the egg, add the yolk to the batter, beat white until stiff, and fold into the batter."", ""SWEETENER:  Use  between 2 Tbsp and 1/2 cup sugar."", ""OR --"", ""substitute up to 3/4 cup brown sugar."", ""OR -- substitute up to 1/2 cup honey or molasses and decrease milk to 3/4 cup."", ""BAKING POWDER:  Use 2 teaspoons."", ""If using whole or cooked grains or more than 1 cup  additions, increase to 3 teaspoons."", 
""If using buttermilk or sour milk, decrease to 1  tsp and add 1/2 tsp baking soda."", ""SALT:  Use 1/2 tsp, or omit if you have a  salt-restricted diet.  OPTIONAL INGREDIENTS: The following ingredients are optional."", ""Additions can be  used in any combination, up to 1 1/2 cups total."", ""If using more than 1 cup of  wet additions, decrease the milk to 1/2 cup."", ""DRY ADDITIONS:  Nuts, sunflower seeds, raisins, coconut, and so on."", ""MOIST ADDITONS:  Blueberries, chopped apple, shredded zucchini, shredded carrot, and so on."", 
""WET ADDITIONS:  Pumpkin puree, applesauce, mashed potato, mashed bananas, mashed carrot, and so on."", ""If using 1/2 cup drained canned fruit or thawed shredded  zucchini, substitute the syrup or zucchini liquid for all or part of the milk."", ""SPICES:  Use spices that complement the additions, such as 1 tsp cinnamon with 1/4 tsp nutmeg or cloves."", ""Try 2 tsp grated orange or lemon peel."", ""JELLIES AND JAM:  Fill cups half full with a plain batter."", ""Add 1 tsp jam or  jelly and top with 2 more Tbsp batter."", 
""NONSWEET COMBINATIONS:  Use only 2 Tbsp sugar and no fruit.  Add combinations of the following:  1/2 cup shredded cheese, 2 strips fried and crumbled bacon, 2  Tbsp grated onion, 1/2 cup shredded zucchini, 2 Tbsp Parmesan cheese.  Spices  could include parsley, marjoram, rosemary --"", ""ALENA KIBBLER'S ADDITIONS: Hawaiian Muffins:  Use 1/2 cup mashed banana, 1/2 cup drained crushed pineapple, and 1/2 cup flake coconut, and 1 Tbsp vanilla or rum flavoring."", ""Use the  pineapple juice instead of milk."", 
""Cherry Vanilla Chip Muffins:  3/4 cup pitted chopped cherries, 3/4 cup vanilla  chips, 1 tsp vanilla."", ""Elvis Muffins:  Use about 3/4 to 1 cup mashed banana, 1/2 cup chopped peanuts or walnuts (any nut).  And substitute 1/4 peanut butter for the oil."")"
248,Mustard Dill Sauce I,1554,Jacques Lorrain,,PT30M,PT30M,1999-09-05T20:06:00Z,Make and share this Mustard Dill Sauce I recipe from Food.com.,character(0),Low Protein,"""< 30 Mins""","c(""1/2"", ""6"", ""1/4"", ""2"", ""1/2"", ""6"")","c(""spicy brown mustard"", ""sugar"", ""distilled white vinegar"", ""dry mustard"", ""fresh dill"")",,,921.1,76.5,9.6,0.0,935.7,58.6,3.4,53.0,4.5,,1 1/2 cups,"c(""Whisk first 4 ingredients in bowl."", ""Gradually whisk in oil."", ""Stir in dill."", ""Cover and chill."")"
257,Stewed Jimmy Crabs,1730,Lintons Seafood,PT25M,PT1H,PT1H25M,1999-08-11T04:56:00Z,"This is a traditional watermen's meal, relished for its flavor and the respite it affords wives for picking crab meat. The eater, you see, does his own crab meat picking.  There is no etiquette, by the way, to the eating.  Just dig in.",character(0),Crab,"c(""Low Protein"", ""Low Cholesterol"", ""Healthy"", ""Weeknight"", ""< 4 Hours"")","c(""12 -15"", ""1"", ""4"", ""2"", ""1"", ""1/2"", ""1"", ""6 -8"")","c(""tap water"", ""bacon"", ""flour"", ""salt"", ""pepper"", ""onion"", ""potatoes"")",,,484.5,6.2,1.9,72.8,1146.8,82.2,10.2,4.9,26.0,,,"c(""Remove all traces of mud from crabs."", ""Pull off back shell and innards."", ""Set a 10 quart pot on the burner."", ""Lay 4 strips of bacon on the bottom of the pan and fry."", ""Set aside bacon."", ""To the bacon grease add 2 tablespoons of flour."", ""Brown the flour in the grease, then add 1 quart of water to the pot. Add the diced onion, the cleaned crabs, and the salt and pepper."", ""Cook over medium heat for 25 minutes, then add potatoes."", ""When potatoes are cooked through, remove the stew from the heat and serve hot. For hearty crab eaters, allow 4 crabs per serving.""
)"
262,Maryland Pavilion Crab Cakes,1730,Lintons Seafood,,PT40M,PT40M,1999-08-16T05:48:00Z,Make and share this Maryland Pavilion Crab Cakes recipe from Food.com.,character(0),Crab,"c(""Very Low Carbs"", ""< 60 Mins"")","c(""1"", ""2"", ""2"", ""1"", ""1"", ""1/4"", ""1/8"", ""1"", NA, NA)","c(""eggs"", ""mayonnaise"", ""parsley"", ""salt"", ""pepper"")",,1.0,106.8,3.7,0.8,95.0,788.7,1.4,0.0,0.4,16.0,6.0,,"c(""In a bowl, combine crab meat, eggs, mayonnaise, horseradish mustard,  chopped parsley, salt, pepper, and hot-pepper sauce. Mix lightly."", ""Separate  and form into 12 to 16 small cakes; do not pack firmly."", ""Roll crackers into  fine crumbs."", ""Pat the cracker crumbs lightly onto the crab cakes."", ""Heat oil  to a depth of about 1/4 inch in a large skillet, or heat the oil in a deep  fryer."", ""Fry crab cakes until golden brown, turning once. Drain on paper  toweling."", ""Serves 6."", ""\""This recipe came from the Maryland Pavilion at the 1964-65 New York  World's Fair.\""""
)"
272,Lemon Mint Lamb Chops,1543,Doreen Randal,,PT25M,PT25M,1999-09-12T06:15:00Z,Make and share this Lemon Mint Lamb Chops recipe from Food.com.,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/27/2/picdjVM3b.jpg""",Lamb/Sheep,"c(""Meat"", ""Very Low Carbs"", ""< 30 Mins"")","c(""8"", ""2"", ""1"", ""1"", ""2"", ""1/2"", ""2"")","c(""lamb chops"", ""butter"", ""onion"", ""lemon"", ""lemon juice"", ""sugar"", ""mint"")",5.0,3.0,706.5,62.2,29.6,171.1,189.7,5.5,1.6,1.3,31.6,4.0,,"c(""Grill chops until tender."", ""While chops are under the grill, prepare the sauce:"", ""Melt butter in pan; add finely chopped onion, saute until tender."", ""Add lemon rind, lemon juice, sugar and mint, heat gently."", ""Spoon over hot chops."", ""Cheers, Doreen Doreen Randal, Wanganui, New Zealand."")"
277,Ouzo-Marinated Greek Cheese,1554,Jacques Lorrain,PT4H4M,PT45M,PT4H49M,1999-09-05T20:08:00Z,Make and share this Ouzo-Marinated Greek Cheese recipe from Food.com.,character(0),Cheese,"c(""Greek"", ""European"", ""Weeknight"", ""Broil/Grill"", ""Oven"")","c(""12"", ""1/2"", ""1/4"", ""1"", ""1"", ""1"", NA)","c(""kasseri cheese"", ""olive oil"", ""fresh parsley"", ""fresh thyme"", ""pepper"")",3.0,1.0,121.3,13.5,1.9,0.0,0.9,0.5,0.2,0.0,0.1,4.0,,"c(""Cut cheese lengthwise into four 1/2-inch thick pieces."", ""Arrange in single layer in shallow dish."", ""Mix ouzo, olive oil, parsley, thyme and pepper in small bowl."", ""Pour over cheese."", ""Marinate at least 4 hours and up to 8 hours, turning once."", ""Preheat broiler."", ""Remove cheese from marinade; transfer to 4 small broiler proof gratin dishes."", ""Drizzle 2 teaspoons marinade over each piece of cheese."", ""Broil until cheese is soft and just begins to melt, about 4 minutes."", ""Serve with bread."", 
""Notes: This starter is an easy version of the fried cheese dish, saganaki, which is traditionally paired with a glass of ouzo."", ""Serve with freshly grilled pita bread."")"
285,Thai Beef Salad,1601,Gilcat2,PT1H,PT30M,PT1H30M,1999-09-04T20:47:00Z,Make and share this Thai Beef Salad recipe from Food.com.,character(0),Meat,"c(""Thai"", ""Asian"", ""Weeknight"", ""< 4 Hours"")","c(""1"", ""1"", ""1"", ""3/4"", ""1/4"", ""3"", ""1"", ""1"", ""1"", ""2"", ""3"", ""1/4"", ""3"", ""2"")","c(""romaine lettuce"", ""red leaf lettuce"", ""Belgian endive"", ""fresh lime juice"", ""soy sauce"", ""beef"", ""brown sugar"", ""garlic cloves"", ""cilantro"", ""tomatoes"", ""green onions"")",4.5,3.0,1259.9,122.9,38.9,112.4,862.8,26.5,12.7,11.1,18.2,4.0,,"c(""Tear romaine lettuce, red leaf lettuce, and Belgian endive into bite-size pieces."", ""In small bowl, combine 2 tablespoons oil,  2 tablespoons lime juice, and 2 tablespoons soy sauce."", ""Add beef strips; stir; marinate at least 1 hour at room  temperature."", ""In food processor, combine 1/2 cup oil, 2 tablespoons lime juice, 1 tablespoon soy  sauce, ginger, brown sugar, garlic and jalapenos; puree."", ""Reserve marinade."", ""Stir-fry beef in 2 tablespoons oil until just browned."", ""Mix reserved marinade with  dressing."", 
""Top greens with beef."", ""Pour dressing into a wok; stir to heat; mix in beef juices."", ""Pour hot dressing over salad."", ""Add cilantro, tomatoes, and  green onions; toss."")"
291,Cauliflower and Potatoes,1612,JANIC412,PT15M,PT20M,PT35M,1999-08-25T05:33:00Z,Make and share this Cauliflower and Potatoes recipe from Food.com.,character(0),Potato,"c(""Cauliflower"", ""Vegetable"", ""Asian"", ""Indian"", ""Broil/Grill"", ""< 60 Mins"", ""Oven"", ""Stove Top"")","c(""3 -4"", ""1"", ""1 -2"", NA, ""2"", ""1"", NA, NA)","c(""cumin seed"", ""fresh ginger"", ""cauliflower"", ""potatoes"", ""garam masala"", ""salt"")",4.0,1.0,698.2,41.7,6.2,0.0,29.4,75.7,9.6,3.4,9.0,,1 batch,"c(""Put oil, cumin seed and ginger in a large frying pan and cook over medium heat 3 to 5 minutes."", ""Add cauliflower and potatoes."", ""Add some garam masala and red peppers and mix."", ""Cook over medium heat 7 to 10 minutes."", ""Cover and reduce heat to low. The steam should cook the vegetables. If it seems too dry, add a little water."")"
299,Apricot Salsa,1675,Jim Weller,PT10M,PT25M,PT35M,1999-09-07T00:18:00Z,Make and share this Apricot Salsa recipe from Food.com.,character(0),Sauces,"c(""Fruit"", ""Tex Mex"", ""Southwestern U.S."", ""Mexican"", ""Low Protein"", ""Low Cholesterol"", ""Healthy"", ""< 60 Mins"")","c(""1/2"", NA, ""1"", ""1"", ""1"", ""2"", ""2"", NA)","c(""red bell pepper"", ""olive oil"", ""onion"", ""tomatoes"", ""apricots"", ""dark rum"", ""apple cider"")",,,40.8,0.2,0.0,0.0,2.2,5.7,1.3,3.7,0.8,4.0,,"c(""Cut a red bell pepper in half; remove seeds; and roast half of it. (Brush with olive oil; put under broiler very close to heat until blackened, about 5 minutes). Chop."", ""Saute onion in about a tablespoon  of olive oil until translucent."", ""Add tomato and jalapeno; saute about another 5 minutes, until tomato is cooked."", ""Add apple cider to cover apricots and boil down until cider is almost all boiled off."", ""Add chopped roasted bell pepper; stir."", ""Add dark rum and flambe. (Light and swirl until flame goes out)."", 
""Serve hot over grilled shark, swordfish, shrimp, or marlin."")"
304,Twice-Baked Sweet Potatoes,1704,HELEN PEAGRAM_40951,PT1H40M,PT25M,PT2H5M,1999-09-15T03:57:00Z,Make and share this Twice-Baked Sweet Potatoes recipe from Food.com.,character(0),Potato,"c(""Vegetable"", ""Low Protein"", ""Low Cholesterol"", ""Healthy"", ""Weeknight"", ""Oven"", ""< 4 Hours"")","c(""1"", NA, ""6"", ""1/3"", ""1/4"", ""1/8"")","c(""head of garlic"", ""sweet potatoes"", ""sour cream"", ""salt"", ""pepper"")",4.5,5.0,144.0,2.6,1.5,6.6,179.5,28.2,4.0,5.9,2.6,6.0,,"c(""Remove outer covering from garlic but don't separate the cloves."", ""Wrap garlic in aluminum foil coated with cooking spray."", ""Place garlic and sweet potatoes on a baking sheet."", ""Bake at 400 degrees Fahrenheit for 1-1/4 hours."", ""Separate garlic cloves; squeeze to extract 2 teaspoons pulp."", ""Slice skin away from top of each potato and scoop out the pulp leaving   the shells intact."", ""Mash potato pulp with garlic, sour cream, salt and pepper."", ""Spoon into potato shells."", ""Bake 400 degrees Fahrenheit for 15 minutes or until heated.""
)"
314,Thai Citrus Chicken Salad,148316,- Carla -,,PT1H,PT1H,1999-09-13T03:56:00Z,This is a healthy and delicious summer salad.  Great for lunch while sitting out in the garden with a a nice cold glass of white wine. :),"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/31/4/picl6Emxi.jpg""",Chicken,"c(""Oranges"", ""Poultry"", ""Citrus"", ""Fruit"", ""Meat"", ""Asian"", ""Brunch"", ""< 60 Mins"")","c(""1"", ""1"", ""2"", ""1/4"", ""2"", ""1"", ""1"", ""2"", ""100"", ""1"", ""1"", ""2"", NA, NA, ""1/4"")","c(""garlic clove"", ""light soy sauce"", ""oranges"", ""lime"", ""brown sugar"", ""Chinese cabbage"", ""bean sprouts"", ""red onion"", ""orange"", ""fresh cilantro"", ""fresh cilantro"")",5.0,15.0,311.2,3.7,1.0,73.1,415.4,40.9,8.6,26.9,32.7,2.0,,"c(""DRESSING:"", ""Combine the ginger, garlic, soy sauce, rice wine vinegar, orange juice, lime juice, and brown sugar together."", ""Add salt and freshly ground pepper and taste for seasoning."", ""Refrigerate 1 hour to allow flavors to infuse."", ""SALAD:"", ""Combine the Chinese Cabbage, bean sprouts, sliced red onion and orange segments. (I like to drop everything in a large zip-lock bag)."", ""Toss with half of the dressing. (Again, if you use a zip-lock bag you can easily pour in half of the dressing, seal and fumble to mix dressing in with salad; place in the refrigerator until ready to use.)."", 
""Add the sliced chicken to a frying pan and brown lightly with a small amount of olive oil."", ""Add the remainder of the citrus dressing; bring to a boil; reduce for 30 seconds to allow mixture to thicken slightly."", ""Place Chinese cabbage mixture on two dinner plates."", ""Arrange sliced chicken on top and pour over the remaining sauce."", ""Top with freshly chopped cilantro."")"
